NAME;SECTOR;SUB INDUSTRY;REUTERS_CODE;YAHOO_CODE;Country;Financials
Lennar;Real Estate;Homebuilding;LEN.N;LEN;US;
LEONARDO;Aerospace & Defense;Aerospace & Defense;LDOF.MI;LDO.MI;IT;
LG CHEM LTD;Materials;;051910.KS;051910.KS;KS;
LI NING LTD;Apparel, Accessories & Luxury Goods;Apparel, Accessories & Luxury Goods;2331.HK;2331.HK;CH;
Lincoln National;Insurance;Multi-line Insurance;LNC.N;LNC;US;
Linde;Materials;Industrial Gases;LIN.N;LIN;US;
LINDE;Chemicals;;LINI.DE;LIN.DE;DE;
LINDT & SPRUENGLI REG;Consumer Staples;Food Retail;LISN.S;LISN.SW;CHF;
LINEDATA SERVICES;Application Software;;LDSV.PA;LIN.PA;FR;
LINK REAL ESTATE INVESTMENT TRUST;Real Estate;;0823.HK;0823.HK;CH;
LISI;Asset Management;Asset Management & Custody Banks;GFII.PA;FII.PA;FR;
Live Nation Entertainment;Communication Services;Movies & Entertainment;LYV.N;LYV;US;
LKQ Corporation;Automobiles and Parts;Distributors;LKQ.N;LKQ;US;
LLOYDS BANKING GRP;Banks;;LLOY.L;LLOY.L;GB;
Lockheed Martin;Aerospace & Defense;Aerospace & Defense;LMT.N;LMT;US;
Loews Corporation;Insurance;Multi-line Insurance;L.N;L;US;
LOGITECH INTERNATIONAL;Information Services;Technology Hardware, Storage & Peripherals;LOGN.S;LOGN.SW;CHF;
LONDONMETRIC PROPERTY PLC;Real Estate;;LMPL.L;LMP.L;GB;
LONZA;Health Care Services;Life Sciences Tools & Services;LONN.S;LONN.SW;CHF;
L'Oreal;Apparel, Accessories & Luxury Goods;Personal Products;OREP.PA;OR.PA;FR;
Lowe's;Consumer Staples;Home Improvement Retail;LOW.N;LOW;US;
LPP;Industrials;Building Products;LPPP.WA;LPP.WA;PL;
LUFTHANSA;Airlines;;LHAG.DE;LHA.DE;DE;
Lumen Technologies;Communication Services;Alternative Carriers;LUMN.N;LUMN;US;
LUMIBIRD;Industrial Machinery;Industrial Machinery;LBIRD.PA;LBIRD.PA;FR;
LUNDBERGFORETAGEN B;Financial Services;;LUNDB.ST;LUND-B.ST;SE;
LUNDIN ENERGY;Energy;;LUNE.ST;LUNE.ST;SE;
Lvmh Moet Hennessy Vuitton SE;Apparel, Accessories & Luxury Goods;Apparel, Accessories & Luxury Goods;LVMH.PA;MC.PA;FR;
LyondellBasell;Materials;Specialty Chemicals;LYB.N;LYB;US;
M&T Bank;Banks;Regional Banks;MTB.N;MTB;US;
Macquarie Group;Banks;;MQG.AX;MQG.AX;AUS;
MAISONS DU MONDE;Consumer Staples;Home Furnishings;MDM.PA;MDM.PA;FR;
MAN GRP;Asset Management;Asset Management & Custody Banks;EMG.L;EMG.L;GB;
MANITOU BF;Industrials;Rent material;MANP.PA;MTU.PA;FR;
Marathon Oil;Oil & Gas;Oil & Gas Exploration & Production;MRO.N;MRO;US;
Marathon Petroleum;Oil & Gas;Oil & Gas Refining & Marketing;MPC.N;MPC;US;
MarketAxess;Financials;Financial Exchanges & Data;MKTX.N;MKTX;US;
MARKS & SPENCER GRP;Consumer Staples;Hypermarkets & Super Centers;MKS.L;MKS.L;GB;
Marriott International;Hotels & Restaurants;Hotels, Resorts & Cruise Lines;MAR.N;MAR;US;
Marsh & McLennan;Financials;Insurance Brokers;MMC.N;MMC;US;
Martin Marietta Materials;Materials;Construction Materials;MLM.N;MLM;US;
Masco;Industrials;Building Products;MAS.N;MAS;US;
Mastercard;Financials;Consumer Finance;MA.N;MA;US;
Match Group;Communication Services;Interactive Media & Services;MTCH.N;MTCH;US;
MAUNA KEA TECH;Health Care Equipment;Health Care Equipment;MKEA.PA;MKEA.PA;FR;
MAUREL ET PROM;Energy;;MAUP.PA;MAU.PA;FR;
MBWS;Vinters & Tobacco;Distillers & Vintners;MBWS.PA;MBWS.PA;FR;
McCormick & Company;Consumer Staples;Packaged Foods & Meats;MKC.N;MKC;US;
McDonald's;Hotels & Restaurants;Restaurants;MCD.N;MCD;US;
McKesson Corporation;Health Care Equipment;Health Care Distributors;MCK.N;MCK;US;
MCPHY ENERGY;Industrial Machinery;Industrial Machinery;MCPHY.PA;MCPHY.PA;FR;
MEDIATEK INC;Semiconductors;Semiconductors;2454.TW;2454.TW;TW;
MEDINCELL REG;Biotechnology;Pharmaceuticals;MEDCL.PA;MEDCL.PA;FR;
MEDIOBANCA;Banks;Diversified Banks;MDBI.MI;MB.MI;IT;
Medtronic;Health Care Equipment;Health Care Equipment;MDT.N;MDT;US;
MEGGITT;Aerospace & Defense;Aerospace & Defense;MGGT.L;MGGT.L;GB;
MEITUAN;Consumer Staples;Internet & Direct Marketing Retail;3690.HK;3690.HK;CH;
MELROSE INDUSTRIES;Industrials;Industrials Conglomerate;MRON.L;MRO.L;GB;
MEMSCAP REGPT;Health Care Services;;MEMS.PA;MEMS.PA;FR;
Merck;Biotechnology;Pharmaceuticals;MRK.N;MRK;US;
MERLIN PROPERTIES SOCIMI;Real Estate;;MRL.MC;MRL.MC;ES;
MERSEN;Electronic Components;Electrical Components & Equipment;CBLP.PA;MRN.PA;FR;
Meta Platforms;Communication Services;Interactive Media & Services;FB.N;FB;US;
METABOLIC EXPLORER;Biotechnology;;METEX.PA;METEX.PA;FR;
MetLife;Insurance;Life & Health Insurance;MET.N;MET;US;
METROPOLE TV;Communication Services;;MMTP.PA;MMT.PA;FR;
METSO OUTOTEC;Industrial Machinery;Construction Machinery & Heavy Trucks;MOCORP.HE;MOCORP.HE;FI;
Mettler Toledo;Health Care Services;Life Sciences Tools & Services;MTD.N;MTD;US;
MGM Resorts International;Hotels & Restaurants;Casinos & Gaming;MGM.N;MGM;US;
Michelin (CGDE)-B;Automobiles and Parts;Tires and Rubber;MICP.PA;ML.PA;FR;
Microchip Technology;Semiconductors;Semiconductors;MCHP.N;MCHP;US;
Micron Technology;Semiconductors;Semiconductors;MU.N;MU;US;
MICROPOLE;Information Services;Data Processing & Outsourced Services;MIPO.PA;MUN.PA;FR;
Microsoft;Electronic Components;Systems Software;MSFT.N;MSFT;US;
Mid-America Apartments;Real Estate;Residential REITs;MAA.N;MAA;US;
MILLICOM INTL.CELU. SDR;Telecommunications;;TIGOSDB.ST;TIGO-SDB.ST;SE;
Mineral Resources;Materials;;MIN.AX;MIN.AX;AUS;
Mirvac;Real Estate;;MGR.AX;MGR.AX;AUS;
Moderna;Biotechnology;Biotechnology;MRNA.N;MRNA;US;
Mohawk Industries;Consumer Staples;Home Furnishings;MHK.N;MHK;US;
Molson Coors;Vinters & Tobacco;Brewers;TAP.N;TAP;US;
MONCLER;Apparel, Accessories & Luxury Goods;;MONC.MI;MONC.MI;IT;
Mondelez International;Consumer Staples;Packaged Foods & Meats;MDLZ.N;MDLZ;US;
MONDI;Materials;Paper Products;MNDI.L;MNDI.L;GB;
Monolithic Power Systems;Semiconductors;Semiconductors;MPWR.N;MPWR;US;
Monster Beverage;Consumer Staples;Soft Drinks;MNST.N;MNST;US;
Moody's;Financials;Financial Exchanges & Data;MCO.N;MCO;US;
Morgan Stanley;Banks;Investment Banking & Brokerage;MS.N;MS;US;
Motorola Solutions;Information Services;Communications Equipment;MSI.N;MSI;US;
MOWI;Consumer Staples;Food Retail;MOWI.OL;MOWI.OL;NO;
MSCI;Financials;Financial Exchanges & Data;MSCI.N;MSCI;US;
MTU AERO ENGINES;Aerospace & Defense;Aerospace & Defense;MTXGN.DE;MTX.DE;DE;
MUENCHENER RUECK;Insurance;;MUVGN.DE;MUV2.DE;DE;
NAN YA PLASTICS CORP;Materials;;1303.TW;1303.TW;TW;
NANOBIOTIX;Biotechnology;Biotechnology;NANOB.PA;NANO.PA;FR;
Nasdaq;Financials;Financial Exchanges & Data;NDAQ.N;NDAQ;US;
National Australia Bank;Banks;;NAB.AX;NAB.AX;AUS;
NATIONAL GRID;Energy;;NG.L;NG.L;GB;
Naturgy Energy Group;Energy;;NTGY.MC;NTGY.MC;ES;
NATWEST GROUP;Banks;;NWG.L;NWG.L;GB;
NAVER CORP;Communication Services;;035420.KS;035420.KS;KS;
NAVYA;Automobiles and Parts;Automobile Manufacturers;NAVYA.PA;NAVYA.PA;FR;
NEOEN;Energy;Renewable Electricity;NEOEN.PA;NEOEN.PA;FR;
NESTE;Energy;;NESTE.HE;NESTE.HE;FI;
NESTLE;Consumer Staples;Packaged Foods & Meats;NESN.S;NESN.SW;CHF;
NetApp;Electronic Components;Technology Hardware, Storage & Peripherals;NTAP.N;NTAP;US;
NETCOMPANY GROUP AS;Information Services;IT Consulting & Other Services;NETCG.CO;NETC.CO;DK;
NETEASE INC;Communication Services;;9999.HK;9999.HK;CH;
Netflix;Communication Services;Movies & Entertainment;NFLX.N;NFLX;US;
NEURONES;Information Services;;NRO.PA;NRO.PA;FR;
NEW WH SMITH;Consumer Staples;General Merchandise Stores;SMWH.L;SMWH.L;GB;
Newcrest Mining;Materials;;NCM.AX;NCM.AX;AUS;
Newell Brands;Consumer Staples;Housewares & Specialties;NWL.N;NWL;US;
Newmont;Materials;Gold;NEM.N;NEM;US;
News Corpÿ(Class B);Communication Services;Publishing;NWS.N;NWS;US;
NEXANS;Electronic Components;Electrical Components & Equipment;NEXS.PA;NEX.PA;FR;
NEXI SPA;Financial Services;Paiement service;NEXII.MI;NEXI.MI;IT;
NEXITY;Real Estate;Real estate Development;NEXI.PA;NXI.PA;FR;
NEXT;Apparel, Accessories & Luxury Goods;;NXT.L;NXT.L;GB;
NextEra Energy;Energy;Multi-Utilities;NEE.N;NEE;US;
NIBE INDUSTRIER B;Construction and Materials;;NIBEB.ST;NIBE-B.ST;SE;
NICOX;Biotechnology;Biotechnology;NCOX.PA;COX.PA;FR;
Nielsen Holdings;Information Services;Research & Consulting Services;NLSN.N;NLSN;US;
Nike;Apparel, Accessories & Luxury Goods;Apparel, Accessories & Luxury Goods;NKE.N;NKE;US;
NiSource;Energy;Multi-Utilities;NI.N;NI;US;
NN GROUP;Insurance;;NN.AS;NN.AS;NL;
NOKIA;Telecommunications;;NOKIA.HE;NOKIA.HE;FI;
NOKIAN RENKAAT;Automobiles and Parts;;TYRES.HE;TYRES.HE;FI;
NORDEA BANK;Banks;;NDAFI.HE;NDA-FI.HE;FI;
NORDIC ENTERTAINMENT GROUP B;Communication Services;;NENTB.ST;NENT-B.ST;SE;
NORDIC SEMICONDUCTOR;Semiconductors;;NOD.OL;NOD.OL;NO;
Norfolk Southern;Industrials;Railroads;NSC.N;NSC;US;
NORSK HYDRO;Materials;Aluminium;NHY.OL;NHY.OL;NO;
Northern Star Resources;Materials;Gold;NST.AX;NST.AX;AUS;
Northern Trust;Asset Management;Asset Management & Custody Banks;NTRS.N;NTRS;US;
Northrop Grumman;Aerospace & Defense;Aerospace & Defense;NOC.N;NOC;US;
NortonLifeLock;Application Software;Application Software;NLOK.N;NLOK;US;
Norwegian Cruise Line Holdings;Hotels & Restaurants;Hotels, Resorts & Cruise Lines;NCLH.N;NCLH;US;
NOVARTIS;Biotechnology;Pharmaceuticals;NOVN.S;NOVN.SW;CHF;
NOVO NORDISK B;Biotechnology;Pharmaceuticals;NOVOB.CO;NOVO-B.CO;DK;
NOVOZYMES;Materials;Specialty Chemicals;NZYMB.CO;NZYM-B.CO;DK;
NRG Energy;Energy;Independent Power Producers & Energy Traders;NRG.N;NRG;US;
Nucor;Materials;Steel;NUE.N;NUE;US;
Nvidia;Semiconductors;Semiconductors;NVDA.N;NVDA;US;
NVR;Real Estate;Homebuilding;NVR.N;NVR;US;
NXP;Semiconductors;Semiconductors;NXPI.N;NXPI;US;
OCADO;Consumer Staples;Food Retail;OCDO.L;OCDO.L;GB;
Occidental Petroleum;Oil & Gas;Oil & Gas Exploration & Production;OXY.N;OXY;US;
Old Dominion Freight Line;Freight;Trucking;ODFL.N;ODFL;US;
Omnicom Group;Communication Services;Advertising;OMC.N;OMC;US;
OMV;Energy;;OMVV.VI;OMV.VI;AT;
Oneok;Oil & Gas;Oil & Gas Storage & Transportation;OKE.N;OKE;US;
Oracle;Application Software;Application Software;ORCL.N;ORCL;US;
Orange.;Telecommunications;Integrated Telecommunication Services;ORAN.PA;ORA.PA;FR;
ORAPI;Health Care Services;;ORPF.PA;ORAP.PA;FR;
OREGE;Utilities;Environmental & Facilities Services;OREGE.PA;OREGE.PA;FR;
O'Reilly Automotive;Apparel, Accessories & Luxury Goods;Specialty Stores;ORLY.N;ORLY;US;
ORION B;Biotechnology;Pharmaceuticals;ORNBV.HE;ORNBV.HE;FI;
ORKLA;Consumer Staples;Packaged Foods & Meats;ORK.OL;ORK.OL;NO;
ORPEA;Health Care Services;Health Care Facilities;ORP.PA;ORP.PA;FR;
ORSTED;Energy;;ORSTED.CO;ORSTED.CO;DK;
OSE IMMUNO;Biotechnology;Biotechnology;OSE.PA;OSE.PA;FR;
Otis Worldwide;Industrial Machinery;Industrial Machinery;OTIS.N;OTIS;US;
Paccar;Industrial Machinery;Construction Machinery & Heavy Trucks;PCAR.N;PCAR;US;
Packaging Corporation of America;Materials;Paper Packaging;PKG.N;PKG;US;
PANDORA;Apparel, Accessories & Luxury Goods;;PNDORA.CO;PNDORA.CO;DK;
Parker-Hannifin;Industrial Machinery;Industrial Machinery;PH.N;PH;US;
PARROT;Information Services;Communications Equipment;PARRO.PA;PARRO.PA;FR;
PARTNERS GRP HLDG;Asset Management;Asset Management & Custody Banks;PGHN.S;PGHN.SW;CHF;
PASSAT;Information Services;;PASS.PA;PSAT.PA;FR;
Paychex;Information Services;Data Processing & Outsourced Services;PAYX.N;PAYX;US;
Paycom;Application Software;Application Software;PAYC.N;PAYC;US;
PayPal;Financials;Consumer Finance;PYPL.N;PYPL;US;
PEARSON;Communication Services;;PSON.L;PSON.L;GB;
Penn National Gaming;Hotels & Restaurants;Casinos & Gaming;PENN.N;PENN;US;
PENNON GRP;Utilities;Water Utilities;PNN.L;PNN.L;GB;
Pentair;Industrial Machinery;Industrial Machinery;PNR.N;PNR;US;
People's United Financial;Financials;Thrifts & Mortgage Finance;PBCT.N;PBCT;US;
PepsiCo;Consumer Staples;Soft Drinks;PEP.N;PEP;US;
PerkinElmer;Health Care Equipment;Health Care Equipment;PKI.N;PKI;US;
Pernod Ricard;Vinters & Tobacco;Spirituous;PERP.PA;RI.PA;FR;
PERSIMMON;Real Estate;Homebuilding;PSN.L;PSN.L;GB;
Pfizer;Biotechnology;Pharmaceuticals;PFE.N;PFE;US;
PHARMAGEST INTER.;Biotechnology;Pharmaceuticals;PHAI.PA;PHA.PA;FR;
Philip Morris International;Vinters & Tobacco;Tobacco;PM.N;PM;US;
PHILIPS;Health Care Equipment;Health Care Equipment;PHG.AS;PHIA.AS;NL;
Phillips 66;Oil & Gas;Oil & Gas Refining & Marketing;PSX.N;PSX;US;
PIERRE VACANCES;Hotels & Restaurants;;PVAC.PA;VAC.PA;FR;
PING AN INSURANCE (GROUP) CO OF CH;Insurance;;2318.HK;2318.HK;CH;
Pinnacle West Capital;Energy;Multi-Utilities;PNW.N;PNW;US;
Pioneer Natural Resources;Oil & Gas;Oil & Gas Exploration & Production;PXD.N;PXD;US;
PKO BANK;Banks;;PKO.WA;PKO.WA;PL;
PLASTIC OMNIUM;Industrials;;PLOF.PA;POM.PA;FR;
PLASTIVALOIRE;Construction and Materials;;PLVP.PA;PVL.PA;FR;
PNC Financial Services;Banks;Regional Banks;PNC.N;PNC;US;
POLYMETAL INTERNATIONAL;Materials;;POLYP.L;POLY.L;GB;
Pool Corporation;Materials;Distributors;POOL.N;POOL;US;
PORSCHE PREF;Automobiles and Parts;;PSHG_P.DE;PAH3.DE;DE;
POSCO;Materials;;005490.KS;005490.KS;KS;
POSTE ITALIANE;Insurance;;PST.MI;PST.MI;IT;
POXEL;Biotechnology;Biotechnology;POXEL.PA;POXEL.PA;FR;
PPG Industries;Materials;Specialty Chemicals;PPG.N;PPG;US;
PPL;Energy;Electric Utilities;PPL.N;PPL;US;
PRIMARY HEALTH PROPS.;Real Estate;;PHP.L;PHP.L;GB;
Principal Financial Group;Insurance;Life & Health Insurance;PFG.N;PFG;US;
Procter & Gamble;Apparel, Accessories & Luxury Goods;Personal Products;PG.N;PG;US;
Progressive Corporation;Insurance;Property & Casualty Insurance;PGR.N;PGR;US;
Prologis;Real Estate;Industrial REITs;PLD.N;PLD;US;
PROLOGUE;Information Services;;PRSW.PA;PROL.PA;FR;
PROSIEBENSAT.1 MEDIA;Communication Services;;PSMGN.DE;PSM.DE;DE;
Prosus;Consumer Staples;Internet & Direct Marketing Retail;PRX.AS;PRX.AS;NL;
PROXIMUS;Telecommunications;;PROX.BR;PROX.BR;BE;
PRUDENTIAL;Insurance;;PRU.L;PRU.L;GB;
Prudential Financial;Insurance;Life & Health Insurance;PRU.N;PRU;US;
PRYSMIAN;Electronic Components;;PRY.MI;PRY.MI;IT;
PSP SWISS PROPERTY;Real Estate;;PSPN.S;PSPN.SW;CHF;
PTC;Application Software;Application Software;PTC.N;PTC;US;
Public Service Enterprise Group;Energy;Electric Utilities;PEG.N;PEG;US;
Public Storage;Real Estate;Specialized REITs;PSA.N;PSA;US;
Publicis Groupe SA;Communication Services;;PUBP.PA;PUB.PA;FR;
PulteGroup;Real Estate;Homebuilding;PHM.N;PHM;US;
PUMA;Apparel, Accessories & Luxury Goods;;PUMG.DE;PUM.DE;DE;
PVH;Apparel, Accessories & Luxury Goods;Apparel, Accessories & Luxury Goods;PVH.N;PVH;US;
PZU GROUP;Insurance;;PZU.WA;PZU.WA;PL;
QBE Insurance;Insurance;;QBE.AX;QBE.AX;AUS;
QIAGEN;Health Care Services;Life Sciences Tools & Services;QIA.DE;QIA.DE;DE;
Qorvo;Semiconductors;Semiconductors;QRVO.N;QRVO;US;
QT GROUP;Application Software;Application Software;QTCOM.HE;QTCOM.HE;FI;
Qualcomm;Semiconductors;Semiconductors;QCOM.N;QCOM;US;
Quanta Services;Industrials;Construction & Engineering;PWR.N;PWR;US;
Quest Diagnostics;Health Care Services;Health Care Services;DGX.N;DGX;US;
QUILTER;Asset Management;Asset Management & Custody Banks;QLT.L;QLT.L;GB;
RAIFFEISEN BANK INTERNATIONAL;Banks;;RBIV.VI;RBI.VI;AT;
Ralph Lauren Corporation;Apparel, Accessories & Luxury Goods;Apparel, Accessories & Luxury Goods;RL.N;RL;US;
Ramsay Health Care;Health Care Services;Health Care Facilities;RHC.AX;RHC.AX;AUS;
RANDSTAD;Information Services;Human Resource & Employment Services;RAND.AS;RAND.AS;NL;
RATIONAL;Industrial Machinery;Industrial Machinery;RAAG.DE;RAA.DE;DE;
Raymond James Financial;Asset Management;Investment Banking & Brokerage;RJF.N;RJF;US;
Raytheon Technologies;Aerospace & Defense;Aerospace & Defense;RTX.N;RTX;US;
REA Group;Communication Services;;REA.AX;REA.AX;AUS;
Realty Income Corporation;Real Estate;Retail REITs;O.N;O;US;
RECORDATI;Biotechnology;Pharmaceuticals;RECI.MI;REC.MI;IT;
RED ELECTRICA CORPORATION;Energy;;REE.MC;REE.MC;ES;
Reece Group;Industrials;;REH.AX;REH.AX;AUS;
Regency Centers;Real Estate;Retail REITs;REG.N;REG;US;
Regeneron Pharmaceuticals;Biotechnology;Biotechnology;REGN.N;REGN;US;
Regions Financial Corporation;Banks;Regional Banks;RF.N;RF;US;
RELX PLC;Communication Services;;REL.L;REL.L;GB;
REMY COINTREAU;Vinters & Tobacco;Spirituous;RCOP.PA;RCO.PA;FR;
Renault S.A.;Automobiles and Parts;;RENA.PA;RNO.PA;FR;
RENTOKIL INITIAL;Utilities;Environmental & Facilities Services;RTO.L;RTO.L;GB;
REPLY;Information Services;IT Consulting & Other Services;REY.MI;REY.MI;IT;
REPSOL;Oil & Gas;;REP.MC;REP.MC;ES;
Republic Services;Utilities;Environmental & Facilities Services;RSG.N;RSG;US;
ResMed;Health Care Equipment;Health Care Equipment;RMD.N;RMD;US;
REXEL;Industrials;Trading Companies & Distributors;RXL.PA;RXL.PA;FR;
RHEINMETALL;Industrials;Industrials Conglomerate;RHMG.DE;RHM.DE;DE;
RIGHTMOVE GRP;Real Estate;;RMV.L;RMV.L;GB;
RIO TINTO;Materials;Diversified Metals and Mining;RIO.L;RIO.L;GB;
Robert Half International;Information Services;Human Resource & Employment Services;RHI.N;RHI;US;
ROBERTET;Consumer Staples;;ROBF.PA;RBT.PA;FR;
ROCHE HLDG P;Biotechnology;Pharmaceuticals;ROG.S;ROG.SW;CHF;
Rockwell Automation;Electronic Components;Electrical Components & Equipment;ROK.N;ROK;US;
ROCKWOOL B;Construction and Materials;;ROCKB.CO;ROCK-B.CO;DK;
Rollins;Utilities;Environmental & Facilities Services;ROL.N;ROL;US;
ROLLS ROYCE HLDG;Aerospace & Defense;Aerospace & Defense;RR.L;RR.L;GB;
Roper Technologies;Industrials;Industrials Conglomerate;ROP.N;ROP;US;
Ross Stores;Apparel, Accessories & Luxury Goods;Apparel Retail;ROST.N;ROST;US;
ROTHSCHILD & CO;Banks;;ROTH.PA;ROTH.PA;FR;
ROTORK;Industrial Machinery;Industrial Machinery;ROR.L;ROR.L;GB;
Royal Caribbean Group;Hotels & Restaurants;Hotels, Resorts & Cruise Lines;RCL.N;RCL;US;
ROYAL DUTCH SHELL A;Oil & Gas;;RDSA.L;RDSA.L;GB;
ROYAL MAIL;Freight;Air Freight & Logistics;RMG.L;RMG.L;GB;
ROYAL UNIBREW;Vinters & Tobacco;Brewers;RBREW.CO;RBREW.CO;DK;
RUBIS;Energy;Gas Utilities;RUBF.PA;RUI.PA;FR;
RWE;Energy;;RWEG.DE;RWE.DE;DE;
RYANAIR;Airlines;;RYA.I;RY4C.IR;IE;
S&P Global;Financials;Financial Exchanges & Data;SPGI.N;SPGI;US;
S.E.B.;Electronic Components;;SEBF.PA;SK.PA;FR;
S4 CAP. ORD SHS;Communication Services;;SFOR.L;SFOR.L;GB;
Safran SA;Aerospace & Defense;Aerospace & Defense;SAF.PA;SAF.PA;FR;
SAGE GRP;Application Software;Application Software;SGE.L;SGE.L;GB;
SAINSBURY (J);Consumer Staples;Food Retail;SBRY.L;SBRY.L;GB;
SAINT GOBAIN;Industrials;Building Products;SGOB.PA;SGO.PA;FR;
Salesforce;Application Software;Application Software;CRM.N;CRM;US;
SALMAR;Consumer Staples;Packaged Foods & Meats;SALM.OL;SALM.OL;NO;
SAMHALLSBYGGNADSBOL AGET NORD;Real Estate;;SBBB.ST;SBB-B.ST;SE;
SAMPO;Insurance;;SAMPO.HE;SAMPO.HE;FI;
SAMSUNG ELECTRONICS LTD;Electronic Components;Technology Hardware, Storage & Peripherals;005930.KS;005930.KS;KS;
SANDVIK;Industrial Machinery;Industrial Machinery;SAND.ST;SAND.ST;SE;
Sanofi;Biotechnology;Pharmaceuticals;SASY.PA;SAN.PA;FR;
Santos;Energy;;STO.AX;STO.AX;AUS;
SAP;Application Software;Application Software;SAPG.DE;SAP.DE;DE;
SARTORIUS BIOTECH;Health Care Services;Life Sciences Tools & Services;STDM.PA;DIM.PA;FR;
SARTORIUS PREF.;Health Care Equipment;Health Care Equipment;SATG.DE;SRT.DE;DE;
SBA Communications;Real Estate;Specialized REITs;SBAC.N;SBAC;US;
Scentre Group;Real Estate;;SCG.AX;SCG.AX;AUS;
SCHINDLER P;Industrial Machinery;Industrial Machinery;SCHN.S;SCHN.SW;CHF;
Schlumberger;Oil & Gas;Oil & Gas Equipment & Services;SLB.N;SLB;US;
Schneider Electric SE;Energy;;SCHN.PA;SU.PA;FR;
SCHRODERS;Asset Management;Asset Management & Custody Banks;SDR.L;SDR.L;GB;
SCOR SE;Insurance;;SCOR.PA;SCR.PA;FR;
SCOTTISH & SOUTHERN ENERGY;Energy;;SSE.L;SSE.L;GB;
SCOUT24;Communication Services;Interactive Media & Services;G24N.DE;G24.DE;DE;
Seagate Technology;Electronic Components;Technology Hardware, Storage & Peripherals;STX.N;STX;US;
Sealed Air;Materials;Paper Packaging;SEE.N;SEE;US;
SECHE ENVIRONNEM.;Utilities;Environmental & Facilities Services;CCHE.PA;SCHP.PA;FR;
SECURITAS B;Industrials;Security and Service Alarm;SECUB.ST;SECU-B.ST;SE;
Seek;Communication Services;;SEK.AX;SEK.AX;AUS;
SEGRO;Real Estate;;SGRO.L;SGRO.L;GB;
Sempra Energy;Utilities;Multi-Utilities;SRE.N;SRE;US;
SERGEFERRARI GROUP;Construction and Materials;;SEFER.PA;SEFER.PA;FR;
ServiceNow;Semiconductors;Systems Software;NOW.N;NOW;US;
SEVERN TRENT;Utilities;Water Utilities;SVT.L;SVT.L;GB;
SGS;Materials;Gold;SGSN.S;SGSN.SW;CHF;
Sherwin-Williams;Materials;Specialty Chemicals;SHW.N;SHW;US;
SHINHAN FINANCIAL GROUP LTD;Banks;Diversified Banks;055550.KS;055550.KS;KS;
SHOWROOMPRIVE;Information Services;;SRPG.PA;SRP.PA;FR;
SIEGFRIED 'R';Health Care Services;Life Sciences Tools & Services;SFZN.S;SFZN.SW;CHF;
SIEMENS;Energy;Industrials Conglomerate;SIEGN.DE;SIE.DE;DE;
SIEMENS GAMESA;Energy;;SGREN.MC;SGRE.MC;ES;
SIEMENS HEALTHINEERS;Health Care Equipment;Health Care Equipment;SHLG.DE;SHL.DE;DE;
SIG COMBIBLOC GROUP AG;Materials;Paper Packaging;SIGNC.S;SIGN.SW;CHF;
SIGNIFY;Health Care Services;;LIGHT.AS;LIGHT.AS;NL;
SIKA;Construction and Materials;;SIKA.S;SIKA.SW;CHF;
SIMCORP;Application Software;Application Software;SIM.CO;SIM.CO;DK;
Simon Property Group;Real Estate;Retail REITs;SPG.N;SPG;US;
SINCH;Application Software;Application Software;SINCH.ST;SINCH.ST;SE;
SK HYNIX INC;Semiconductors;Semiconductors;000660.KS;000660.KS;KS;
SKANDINAVISKA ENSKILDA BK A;Banks;;SEBA.ST;SEB-A.ST;SE;
SKANSKA B;Construction and Materials;;SKAB.ST;SKA-B.ST;SE;
SKF B;Materials;;SKFB.ST;SKF-B.ST;SE;
Skyworks Solutions;Semiconductors;Semiconductors;SWKS.N;SWKS;US;
SMITH & NEPHEW;Health Care Equipment;Health Care Equipment;SN.L;SN.L;GB;
SMITHS GRP;Industrials;Industrials Conglomerate;SMIN.L;SMIN.L;GB;
SMTPC;Construction and Materials;;SMTPC.PA;SMTPC.PA;FR;
SMURFIT KAPPA GRP;Materials;Paper Packaging;SKG.I;SK3.IR;IE;
SNAM RETE GAS;Energy;;SRG.MI;SRG.MI;IT;
Snap-on;Industrial Machinery;Industrial Machinery;SNA.N;SNA;US;
SOCIETE GENERALE;Banks;;SOGN.PA;GLE.PA;FR;
SODEXO;Hotels & Restaurants;Restaurants;EXHO.PA;SW.PA;FR;
SOFINA;Asset Management;Multi-Sector Holdings;SOF.BR;SOF.BR;BE;
SOFTCAT;Application Software;Application Software;SCTS.L;SCT.L;GB;
SOGECLAIR;Airlines;;SCLR.PA;SOG.PA;FR;
SOITEC;Semiconductors;Semiconductor Equipment;SOIT.PA;SOI.PA;FR;
SOLUTION 30;Energy;Services energy;S30.PA;S30.PA;FR;
SOLVAY;Chemicals;;SOLB.BR;SOLB.BR;BE;
Sonic Healthcare;Health Care Services;Health Care Services;SHL.AX;SHL.AX;AUS;
SONOVA;Health Care Equipment;Health Care Equipment;SOON.S;SOON.SW;CHF;
SOPRA STERIA GROUP;Information Services;IT Consulting & Other Services;SOPR.PA;SOP.PA;FR;
South32;Materials;;S32.AX;S32.AX;AUS;
Southern Company;Energy;Electric Utilities;SO.N;SO;US;
Southwest Airlines;Airlines;Airlines;LUV.N;LUV;US;
SPECTRIS;Electronic Components;Electronic Equipment & Instruments;SXS.L;SXS.L;GB;
SPIE;Energy;Services energy;SPIE.PA;SPIE.PA;FR;
